0	49	33	68	146	151	109	175	77	180	27	90	86	79	172	111	94	142	122	55	168	82	41	34	99	63	134	79	159	111	157	168
49	0	58	93	171	116	134	140	42	205	32	115	51	104	197	136	59	107	147	80	193	107	66	27	64	28	99	44	124	76	182	133
33	58	0	51	129	160	92	184	86	163	36	73	95	62	155	94	103	151	105	38	151	65	24	43	108	72	143	88	168	120	140	177
68	93	51	0	98	195	61	219	121	132	71	42	130	31	124	63	138	186	74	27	120	34	37	78	143	107	178	123	203	155	109	212
146	171	129	98	0	273	61	297	199	62	149	66	208	97	54	45	216	264	34	105	50	76	115	156	221	185	256	201	281	233	39	290
151	116	160	195	273	0	236	34	90	307	134	217	89	206	299	238	77	29	249	182	295	209	168	129	64	108	45	102	18	50	284	27
109	134	92	61	61	236	0	260	162	95	112	29	171	60	87	26	179	227	37	68	83	39	78	119	184	148	219	164	244	196	72	253
175	140	184	219	297	34	260	0	114	331	158	241	113	230	323	262	101	53	273	206	319	233	192	153	88	132	69	126	30	74	308	23
77	42	86	121	199	90	162	114	0	233	60	143	25	132	225	164	33	81	175	108	221	135	94	55	38	34	73	28	98	50	210	107
180	205	163	132	62	307	95	331	233	0	183	100	242	131	22	79	250	298	68	139	42	110	149	190	255	219	290	235	315	267	53	324
27	32	36	71	149	134	112	158	60	183	0	93	69	82	175	114	77	125	125	58	171	85	44	17	82	46	117	62	142	94	160	151
90	115	73	42	66	217	29	241	143	100	93	0	152	41	92	31	160	208	42	49	88	20	59	100	165	129	200	145	225	177	77	234
86	51	95	130	208	89	171	113	25	242	69	152	0	141	234	173	32	80	184	117	230	144	103	64	37	43	72	37	97	49	219	106
79	104	62	31	97	206	60	230	132	131	82	41	141	0	123	62	149	197	73	38	119	33	48	89	154	118	189	134	214	166	108	223
172	197	155	124	54	299	87	323	225	22	175	92	234	123	0	71	242	290	60	131	34	102	141	182	247	211	282	227	307	259	45	316
111	136	94	63	45	238	26	262	164	79	114	31	173	62	71	0	181	229	21	70	67	41	80	121	186	150	221	166	246	198	56	255
94	59	103	138	216	77	179	101	33	250	77	160	32	149	242	181	0	68	192	125	238	152	111	72	25	51	60	45	85	37	227	94
142	107	151	186	264	29	227	53	81	298	125	208	80	197	290	229	68	0	240	173	286	200	159	120	55	99	36	93	37	41	275	46
122	147	105	74	34	249	37	273	175	68	125	42	184	73	60	21	192	240	0	81	56	52	91	132	197	161	232	177	257	209	45	266
55	80	38	27	105	182	68	206	108	139	58	49	117	38	131	70	125	173	81	0	127	41	24	65	130	94	165	110	190	142	116	199
168	193	151	120	50	295	83	319	221	42	171	88	230	119	34	67	238	286	56	127	0	98	137	178	243	207	278	223	303	255	41	312
82	107	65	34	76	209	39	233	135	110	85	20	144	33	102	41	152	200	52	41	98	0	51	92	157	121	192	137	217	169	87	226
41	66	24	37	115	168	78	192	94	149	44	59	103	48	141	80	111	159	91	24	137	51	0	51	116	80	151	96	176	128	126	185
34	27	43	78	156	129	119	153	55	190	17	100	64	89	182	121	72	120	132	65	178	92	51	0	77	41	112	57	137	89	167	146
99	64	108	143	221	64	184	88	38	255	82	165	37	154	247	186	25	55	197	130	243	157	116	77	0	56	47	50	72	24	232	81
63	28	72	107	185	108	148	132	34	219	46	129	43	118	211	150	51	99	161	94	207	121	80	41	56	0	91	36	116	68	196	125
134	99	143	178	256	45	219	69	73	290	117	200	72	189	282	221	60	36	232	165	278	192	151	112	47	91	0	85	53	33	267	62
79	44	88	123	201	102	164	126	28	235	62	145	37	134	227	166	45	93	177	110	223	137	96	57	50	36	85	0	110	62	212	119
159	124	168	203	281	18	244	30	98	315	142	225	97	214	307	246	85	37	257	190	303	217	176	137	72	116	53	110	0	58	292	23
111	76	120	155	233	50	196	74	50	267	94	177	49	166	259	198	37	41	209	142	255	169	128	89	24	68	33	62	58	0	244	67
157	182	140	109	39	284	72	308	210	53	160	77	219	108	45	56	227	275	45	116	41	87	126	167	232	196	267	212	292	244	0	301
168	133	177	212	290	27	253	23	107	324	151	234	106	223	316	255	94	46	266	199	312	226	185	146	81	125	62	119	23	67	301	0
